HPO编号	名称(英文)	名称(中文)	定义(英文)	定义(中文)
HP:0002705	High, narrow palate	腭高而窄	The presence of a high and narrow palate.	校对中...
HP:0002707	Palate telangiectasia	腭毛细血管扩张	The presence of small (ca. 0.5-1.0 mm) dilated blood vessels near the surface of the mucous membranes of the palate.	校对中...
HP:0002708	Prominent median palatal raphe	腭中缝突起	Unusual prominence of the median palatal raphe, which is the ridge formed by the fusion of the two plates of the skull that form the hard palate.	校对中...
HP:0002710	Commissural lip pit	口角小窝	A depression located at an oral commissure.	校对中...
HP:0002711	Exaggerated median tongue furrow	夸张的正中舌沟	Increased depth of the median tongue furrow.	校对中...
HP:0002714	Downturned corners of mouth	嘴角下弯	A morphological abnormality of the mouth in which the angle of the mouth is downturned. The oral commissures are positioned inferior to the midline labial fissure.	校对中...
HP:0002715	Abnormality of the immune system	免疫系统异常	An abnormality of the immune system.	校对中...
HP:0002716	Lymphadenopathy	淋巴结肿大	Enlargment (swelling) of a lymph node.	校对中...
HP:0002717	Adrenal overactivity	肾上腺过度活跃		
HP:0002718	Recurrent bacterial infections	反复细菌感染	Increased susceptibility to bacterial infections, as manifested by recurrent episodes of bacterial infection.	校对中...
HP:0002719	Recurrent infections	反复感染	Increased susceptibility to infections.	校对中...
HP:0002720	Decreased circulating IgA level	循环IgA下降	Decreased levels of immunoglobulin A (IgA).	校对中...
HP:0002721	Immunodeficiency	免疫缺陷	Failure of the immune system to protect the body adequately from infection, due to the absence or insufficiency of some component process or substance.	校对中...
HP:0002722	Recurrent abscess formation	反复脓肿形成	An increased susceptibility to abscess formation, as manifested by a medical history of recurrent abscesses.	校对中...
HP:0002723	Absence of bactericidal oxidative respiratory burst in phagocytes	吞噬细胞中杀菌性氧化呼吸爆发的缺失	An absence of the phase of elevated metabolic activity, during which oxygen consumption increases, that occurs in neutrophils, monocytes, and macrophages shortly after phagocytosing material. An enhanced uptake of oxygen leads to the production, by an NADH dependent system, of hydrogen peroxide (H2O2), superoxide anions and hydroxyl radicals, which play a part in microbiocidal activity.	校对中...
HP:0002724	Recurrent Aspergillus infections	反复曲霉菌感染	An increased susceptibility to Aspergillus infections, as manifested by a history of recurrent episodes of Aspergillus infections.	校对中...
HP:0002725	Systemic lupus erythematosus	系统性红斑狼疮	A chronic, relapsing, inflammatory, and often febrile multisystemic disorder of connective tissue, characterized principally by involvement of the skin, joints, kidneys, and serosal membranes.	校对中...
HP:0002726	Recurrent Staphylococcus aureus infections	反复金黄色葡萄球菌感染	Increased susceptibility to Staphylococcus aureus infections, as manifested by recurrent episodes of Staphylococcus aureus infection.	校对中...
HP:0002728	Chronic mucocutaneous candidiasis	慢性皮肤粘膜念珠菌病	Recurrent or persistent superficial Candida infections of the skin, mucous membranes, and nails.	校对中...
HP:0002729	Follicular hyperplasia	淋巴滤泡增生	Lymphadenopathy (enlargement of lymph nodes) owing to hyperplasia of follicular (germinal) centers.	校对中...
HP:0002730	Chronic noninfectious lymphadenopathy	慢性非感染性淋巴结肿大	A chronic form of lymphadenopathy that is not related to infection.	校对中...
HP:0002731	Decreased lymphocyte apoptosis	淋巴细胞凋亡减少	A reduction in the rate of apoptosis in lymphocytes.	校对中...
HP:0002732	Lymph node hypoplasia	淋巴结发育不全	Underdevelopment of the lymph nodes.	校对中...
HP:0002733	Abnormality of the lymph nodes	淋巴结异常	A lymph node abnormality.	校对中...
HP:0002737	Thick skull base	厚颅底		
HP:0002738	Hypoplastic frontal sinuses	额窦发育不全	Underdevelopment of frontal sinus.	校对中...
HP:0002740	Recurrent E. coli infections	反复大肠杆菌感染	Increased susceptibility to infections with Escherichia coli, as manifested by recurrent episodes of infection with this agent.	校对中...
HP:0002741	Recurrent Serratia marcescens infections	反复粘质沙雷氏菌感染	Increased susceptibility to Serratia marcescens infections, as manifested by recurrent episodes of Serratia marcescens infection.	校对中...
HP:0002742	Recurrent Klebsiella infections	反复克雷伯杆菌感染	Increased susceptibility to Klebsiella infections, as manifested by recurrent episodes of Klebsiella infection.	校对中...
HP:0002743	Recurrent enteroviral infections	反复肠病毒感染	Increased susceptibility to enteroviral infections, as manifested by recurrent episodes of enteroviral infection.	校对中...
HP:0002744	Bilateral cleft lip and palate	双侧唇腭裂	Cleft lip and cleft palate affecting both sides of the face.	校对中...
HP:0002745	Oral leukoplakia	口腔白斑	A thickened white patch on the oral mucosa that cannot be rubbed off.	校对中...
HP:0002747	Respiratory insufficiency due to muscle weakness	肌肉无力导致的呼吸功能不全		
HP:0002748	Rickets	佝偻病	Rickets is divided into two major categories including calcipenic and phosphopenic. Hypophosphatemia is described as a common manifestation of both categories. Hypophosphatemic rickets is the most common type of rickets that is characterized by low levels of serum phosphate, resistance to ultraviolet radiation or vitamin D intake. There are several issues involved in hypophosphatemic rickets such as calcium, vitamin D, phosphorus deficiencies. Moreover, other disorder can be associated with its occurrence such as absorption defects due to pancreatic, intestinal, gastric, and renal disorders and hepatobiliary disease. Symptoms are usually seen in childhood and can be varied in severity. Severe forms may be linked to bowing of the legs, poor bone growth, and short stature as well as joint and bone pain. Hypophosphatemic rickets are associated with renal excretion of phosphate, hypophosphatemia, and mineral defects in bones. The familial type of the disease is the most common type of rickets.	校对中...
HP:0002749	Osteomalacia	软骨病	Osteomalacia is a general term for bone weakness owing to a defect in mineralization of the protein framework known as osteoid. This defective mineralization is mainly caused by lack in vitamin D. Osteomalacia in children is known as rickets.	校对中...
HP:0002750	Delayed skeletal maturation	骨成熟延迟	A decreased rate of skeletal maturation. Delayed skeletal maturation can be diagnosed on the basis of an estimation of the bone age from radiographs of specific bones in the human body.	校对中...
HP:0002751	Kyphoscoliosis	脊柱后侧凸	An abnormal curvature of the spine in both a coronal (lateral) and sagittal (back-to-front) plane.	校对中...
HP:0002752	Sparse bone trabeculae	骨小梁稀疏		
HP:0002753	Thin bony cortex	骨皮质薄	Abnormal thinning of the cortical region of bones.	校对中...
HP:0002754	Osteomyelitis	骨髓炎	Osteomyelitis is an inflammatory process accompanied by bone destruction and caused by an infecting microorganism.	校对中...
HP:0002756	Pathologic fracture	病理性骨折	A pathologic fracture occurs when a bone breaks in an area that is weakened secondarily to another disease process such as tumor, infection, and certain inherited bone disorders. A pathologic fracture can occur without a degree of trauma required to cause fracture in healthy bone.	校对中...
HP:0002757	Recurrent fractures	复发性骨折	The repeated occurrence of bone fractures (implying an abnormally increased tendency for fracture).	校对中...
HP:0002758	Osteoarthritis	骨关节炎	Degeneration (wear and tear) of articular cartilage, i.e., of the joint surface. Joint degeneration may be accompanied by osteophytes (bone overgrowth), narrowing of the joint space, regions of sclerosis at the joint surface, or joint deformity.	校对中...
HP:0002761	Generalized joint laxity	周身关节松弛	Joint hypermobility (ability of a joint to move beyond its normal range of motion) affecting many or all joints of the body.	校对中...
HP:0002762	Multiple exostoses	多发性外生骨疣	Presence of more than one exostosis. An exostosis is a benign growth the projects outward from the bone surface. It is capped by cartilage, and arises from a bone that develops from cartilage.	校对中...
HP:0002763	Abnormal cartilage morphology	软骨形态异常	Any morphological abnormality of cartilage.	校对中...
HP:0002764	Stippled chondral calcification	软骨点状钙化	Punctate (speckled, dot-like) deposition of calcium of calcium salts in the articular cartilage (cartilage located in joints).	校对中...
HP:0002766	Relatively short spine	相对性短脊柱		
HP:0002777	Tracheal stenosis	气管狭窄		
HP:0002778	Abnormal trachea morphology	气管形态异常	A structural anomaly of the trachea.	校对中...
HP:0002779	Tracheomalacia	气管软化		
HP:0002780	Bronchomalacia	支气管软化	Weakness or softness of the cartilage in the walls of the bronchial tubes.	校对中...
HP:0002781	Upper airway obstruction	上气道阻塞	Increased resistance to the passage of air in the upper airway.	校对中...
HP:0002783	Recurrent lower respiratory tract infections	反复下呼吸道感染	An increased susceptibility to lower respiratory tract infections as manifested by a history of recurrent lower respiratory tract infections.	校对中...
HP:0002786	Tracheobronchomalacia	气管支气管软化	Weakness of the cartilage in the trachea and the bronchi, resulting in a floppy (non-rigid) airway. Affected persons may have difficulties to maintain patency of the airways.	校对中...
